cluuq,HH_code,gps_latitude,gps_longitude,prov,dist,div,loc,locality,hh_grid,mini_grid,solar,exp_mnth,county,exp_annual,pw_final
,1090105011_22,-3.616921933,39.8547884,Coast,Kilifi,Bahari,Township,R,1.00E+00,0.00E+00,0.00E+00,,,13050,
,1090105011_21,-3.615087155,39.8578063,Coast,Kilifi,Bahari,Township,R,1.00E+00,0.00E+00,0.00E+00,,,223600,
,1090105011_23,-3.615266408,39.8570516,Coast,Kilifi,Bahari,Township,R,0.00E+00,0.00E+00,0.00E+00,,,59600,
1001_3,1090202021_09,-3.788574461,39.8223109,Coast,Kilifi,Kikambala,Junju,R,0.00E+00,0.00E+00,0.00E+00,8750,Kilifi,90940,1278.132446
1001_3,1090202021_11,-3.790159192,39.822565,Coast,Kilifi,Kikambala,Junju,R,1.00E+00,0.00E+00,0.00E+00,7850,Kilifi,36328,2666.44873
1001_3,1090202021_05,-3.789322265,39.8155183,Coast,Kilifi,Kikambala,Junju,R,0.00E+00,0.00E+00,0.00E+00,,Kilifi,90728,1278.132446
1001_3,1090202021_06,-3.78778718,39.8159816,Coast,Kilifi,Kikambala,Junju,R,0.00E+00,0.00E+00,0.00E+00,,Kilifi,28628,1278.132446
1001_3,1090202021_12,-3.788952078,39.8250021,Coast,Kilifi,Kikambala,Junju,R,0.00E+00,0.00E+00,0.00E+00,,Kilifi,8416,1278.132446
1001_3,1090202021_10,-3.785353469,39.823083,Coast,Kilifi,Kikambala,Junju,R,0.00E+00,0.00E+00,0.00E+00,,Kilifi,6664,1278.132446
1001_3,1090202021_01,-3.793682211,39.8203851,Coast,Kilifi,Kikambala,Junju,R,0.00E+00,0.00E+00,0.00E+00,,Kilifi,75164,1278.132446
1001_3,1090202021_02,-3.793061614,39.8139572,Coast,Kilifi,Kikambala,Junju,R,0.00E+00,0.00E+00,1.00E+00,,Kilifi,97328,1278.132446
1001_3,1090202021_03,-3.789992259,39.8193329,Coast,Kilifi,Kikambala,Junju,R,0.00E+00,0.00E+00,0.00E+00,,Kilifi,,1278.132446
1001_3,1090202021_08,-3.792478546,39.8267099,Coast,Kilifi,Kikambala,Junju,R,0.00E+00,0.00E+00,0.00E+00,,Kilifi,6838,1278.132446
1001_3,1090202021_04,-3.789524343,39.8208895,Coast,Kilifi,Kikambala,Junju,R,0.00E+00,0.00E+00,1.00E+00,,Kilifi,14528,1278.132446
1001_3,1090202021_13,-3.789788044,39.8217491,Coast,Kilifi,Kikambala,Junju,R,1.00E+00,0.00E+00,0.00E+00,9836,Kilifi,35328,2666.44873
1001_3,1090202021_07,-3.785718553,39.8188053,Coast,Kilifi,Kikambala,Junju,R,0.00E+00,0.00E+00,0.00E+00,,Kilifi,11816,1278.132446
100_13,8010801021_04,-1.215419314,36.802352,Nairobi,Westlands,Westlands,Highridge,U,1.00E+00,0.00E+00,1.00E+00,102664,Nairobi,150000,7076.241211
100_13,8010801021_05,-1.216370233,36.8028051,Nairobi,Westlands,Westlands,Highridge,U,1.00E+00,0.00E+00,1.00E+00,266920,,1300000,
100_13,8010801021_03,-1.21778559,36.8237385,Nairobi,Westlands,Westlands,Highridge,U,1.00E+00,0.00E+00,0.00E+00,315576,Nairobi,7992,7076.241211
100_13,8010801021_01,-1.218447103,36.796076,Nairobi,Westlands,Westlands,Highridge,U,1.00E+00,0.00E+00,0.00E+00,206216,Nairobi,1776,7076.241211
100_13,8010801021_02,-1.21818622,36.7961669,Nairobi,Westlands,Westlands,Highridge,U,1.00E+00,0.00E+00,0.00E+00,138376,Nairobi,201000,7076.241211
1026_3,1090402012_06,-3.647767042,39.673014,Coast,Kilifi,Ganze,Palakumi,R,0.00E+00,0.00E+00,0.00E+00,,Kilifi,18500,1616.029541
1026_3,1090402012_02,-3.647590855,39.6637127,Coast,Kilifi,Ganze,Palakumi,R,0.00E+00,0.00E+00,1.00E+00,,Kilifi,27500,1616.029541
1026_3,1090402012_12,-3.653243697,39.6682798,Coast,Kilifi,Ganze,Palakumi,R,0.00E+00,0.00E+00,0.00E+00,,Kilifi,7416,1616.029541
1026_3,1090402012_04,-3.649179767,39.6677178,Coast,Kilifi,Ganze,Palakumi,R,0.00E+00,0.00E+00,0.00E+00,,Kilifi,22300,1616.029541
1026_3,1090402012_10,-3.654583751,39.6733584,Coast,Kilifi,Ganze,Palakumi,R,0.00E+00,0.00E+00,0.00E+00,,Kilifi,12216,1616.029541
1026_3,1090402012_07,-3.649093405,39.6734809,Coast,Kilifi,Ganze,Palakumi,R,0.00E+00,0.00E+00,0.00E+00,,Kilifi,54200,1616.029541
1026_3,1090402012_09,-3.650882662,39.6676716,Coast,Kilifi,Ganze,Palakumi,R,0.00E+00,0.00E+00,1.00E+00,,Kilifi,7904,1616.029541
